sector,year,sex,name,n,prop
Christian,1948,F,לילה,19,0.1292517
Christian,1948,F,סמירה,14,0.0952381
Christian,1948,F,מארי,13,0.08843537
Christian,1948,F,נואל,11,0.07482993
Christian,1948,F,אמל,9,0.06122449
Christian,1948,F,מרים,7,0.04761905
Christian,1948,F,עפאף,7,0.04761905
Christian,1948,F,ג'יהאד,6,0.04081633
Christian,1948,F,סיהאם,6,0.04081633
Christian,1948,F,אילין,5,0.03401361
Christian,1948,F,ג'ורג'ית,5,0.03401361
Christian,1948,F,ודאד,5,0.03401361
Christian,1948,F,ורדה,5,0.03401361
Christian,1948,F,נאדיא,5,0.03401361
Christian,1948,F,נאדיה,5,0.03401361
Christian,1948,F,נבילה,5,0.03401361
Christian,1948,F,סועאד,5,0.03401361
Christian,1948,F,סלוא,5,0.03401361
Christian,1948,F,עבלא,5,0.03401361
Christian,1948,F,תיריז,5,0.03401361
Christian,1948,M,אליאס,14,0.09032258
Christian,1948,M,סמיר,12,0.07741935
Christian,1948,M,ג'יהאד,11,0.07096774
Christian,1948,M,יוסף,11,0.07096774
Christian,1948,M,ג'ורג',10,0.06451613
Christian,1948,M,נביל,9,0.05806452
Christian,1948,M,אבראהים,8,0.0516129
Christian,1948,M,סוהיל,7,0.04516129
Christian,1948,M,פואד,7,0.04516129
Christian,1948,M,אמיל,6,0.03870968
Christian,1948,M,אנטון,6,0.03870968
Christian,1948,M,באסם,6,0.03870968
Christian,1948,M,חנא,6,0.03870968
Christian,1948,M,סוהייל,6,0.03870968
Christian,1948,M,סלים,6,0.03870968
Christian,1948,M,אדיב,5,0.03225806
Christian,1948,M,ג'מיל,5,0.03225806
Christian,1948,M,מוניר,5,0.03225806
Christian,1948,M,מנסור,5,0.03225806
Christian,1948,M,עאטף,5,0.03225806
Christian,1948,M,פאיז,5,0.03225806
Druze,1948,F,שהרבאן,5,0.5
Druze,1948,F,תמימה,5,0.5
Druze,1948,M,מוחמד,11,0.21568627
Druze,1948,M,סולימאן,11,0.21568627
Druze,1948,M,ג'מאל,9,0.17647059
Druze,1948,M,יוסף,9,0.17647059
Druze,1948,M,סאלח,6,0.11764706
Druze,1948,M,כמאל,5,0.09803922
Jewish,1948,F,שרה,326,0.05002302
Jewish,1948,F,רחל,323,0.04956268
Jewish,1948,F,אסתר,263,0.04035599
Jewish,1948,F,חנה,247,0.03790087
Jewish,1948,F,מרים,190,0.02915452
Jewish,1948,F,רות,165,0.0253184
Jewish,1948,F,רבקה,164,0.02516495
Jewish,1948,F,דליה,152,0.02332362
Jewish,1948,F,שושנה,149,0.02286328
Jewish,1948,F,לאה,145,0.0222495
Jewish,1948,F,יהודית,121,0.01856683
Jewish,1948,F,חיה,119,0.01825994
Jewish,1948,F,אילנה,115,0.01764616
Jewish,1948,F,יעל,111,0.01703238
Jewish,1948,F,צפורה,107,0.0164186
Jewish,1948,F,מלכה,102,0.01565137
Jewish,1948,F,דבורה,101,0.01549793
Jewish,1948,F,תמר,93,0.01427037
Jewish,1948,F,שולמית,90,0.01381004
Jewish,1948,F,יפה,86,0.01319626
Jewish,1948,F,גאולה,84,0.01288937
Jewish,1948,F,עדנה,81,0.01242903
Jewish,1948,F,דרורה,80,0.01227559
Jewish,1948,F,נורית,79,0.01212214
Jewish,1948,F,נעמי,79,0.01212214
Jewish,1948,F,פנינה,78,0.0119687
Jewish,1948,F,זהבה,75,0.01150836
Jewish,1948,F,חוה,72,0.01104803
Jewish,1948,F,מיכל,71,0.01089458
Jewish,1948,F,ורדה,70,0.01074114
Jewish,1948,F,טובה,70,0.01074114
Jewish,1948,F,עליזה,62,0.00951358
Jewish,1948,F,נילי,61,0.00936014
Jewish,1948,F,דורית,60,0.00920669
Jewish,1948,F,דינה,56,0.00859291
Jewish,1948,F,אהובה,55,0.00843947
Jewish,1948,F,ברכה,55,0.00843947
Jewish,1948,F,בתיה,53,0.00813258
Jewish,1948,F,אורה,52,0.00797913
Jewish,1948,F,נאוה,51,0.00782569
Jewish,1948,F,רינה,47,0.00721191
Jewish,1948,F,צביה,46,0.00705846
Jewish,1948,F,שלומית,46,0.00705846
Jewish,1948,F,אביבה,44,0.00675157
Jewish,1948,F,גילה,44,0.00675157
Jewish,1948,F,ניצה,44,0.00675157
Jewish,1948,F,נחמה,42,0.00644468
Jewish,1948,F,יונה,41,0.00629124
Jewish,1948,F,מזל,41,0.00629124
Jewish,1948,F,עדינה,41,0.00629124
Jewish,1948,F,עפרה,40,0.00613779
Jewish,1948,F,אירית,38,0.0058309
Jewish,1948,F,בלהה,35,0.00537057
Jewish,1948,F,זיוה,34,0.00521712
Jewish,1948,F,יוכבד,33,0.00506368
Jewish,1948,F,ירדנה,32,0.00491023
Jewish,1948,F,איילה,31,0.00475679
Jewish,1948,F,דפנה,31,0.00475679
Jewish,1948,F,סימה,30,0.00460335
Jewish,1948,F,ישראלה,29,0.0044499
Jewish,1948,F,ליאורה,29,0.0044499
Jewish,1948,F,מרגלית,29,0.0044499
Jewish,1948,F,עירית,29,0.0044499
Jewish,1948,F,ברוריה,28,0.00429646
Jewish,1948,F,נירה,28,0.00429646
Jewish,1948,F,צילה,28,0.00429646
