sector,year,sex,name,n,prop
Other,1985,M,דניאל,6,1
Other,1986,M,בן,7,1
Other,1989,M,יונתן,6,0.5454545
Other,1989,M,דניאל,5,0.4545455
Other,1990,M,דניאל,6,1
Other,1991,F,אילנה,5,1
Other,1991,M,דניאל,27,0.4821429
Other,1991,M,דוד,10,0.1785714
Other,1991,M,דן,8,0.1428571
Other,1991,M,מיכאל,6,0.1071429
Other,1991,M,יונתן,5,0.0892857
Other,1992,F,דנה,11,0.5
Other,1992,F,אנה,6,0.2727273
Other,1992,F,מרים,5,0.2272727
Other,1992,M,דניאל,37,0.5441176
Other,1992,M,דוד,12,0.1764706
Other,1992,M,מיכאל,9,0.1323529
Other,1992,M,איליה,5,0.0735294
Other,1992,M,יונתן,5,0.0735294
Other,1993,F,ניקול,9,0.20454545
Other,1993,F,אלה,7,0.15909091
Other,1993,F,אילנה,6,0.13636364
Other,1993,F,אנה,6,0.13636364
Other,1993,F,אסתר,6,0.13636364
Other,1993,F,דניאלה,5,0.11363636
Other,1993,F,קרן,5,0.11363636
Other,1993,M,דניאל,50,0.3030303
Other,1993,M,דוד,16,0.0969697
Other,1993,M,מיכאל,13,0.07878788
Other,1993,M,בנימין,9,0.05454545
Other,1993,M,רוני,9,0.05454545
Other,1993,M,בן,8,0.04848485
Other,1993,M,אילן,7,0.04242424
Other,1993,M,אלכסנדר,7,0.04242424
Other,1993,M,אריאל,7,0.04242424
Other,1993,M,יעקב,7,0.04242424
Other,1993,M,רון,7,0.04242424
Other,1993,M,גבריאל,5,0.03030303
Other,1993,M,דן,5,0.03030303
Other,1993,M,יונתן,5,0.03030303
Other,1993,M,ליאור,5,0.03030303
Other,1993,M,מרק,5,0.03030303
Other,1994,F,מאיה,11,0.08029197
Other,1994,F,דנה,10,0.0729927
Other,1994,F,דניאלה,9,0.06569343
Other,1994,F,אילנה,8,0.05839416
Other,1994,F,אנה,8,0.05839416
Other,1994,F,דיאנה,8,0.05839416
Other,1994,F,מישל,8,0.05839416
Other,1994,F,נטלי,8,0.05839416
Other,1994,F,קרן,8,0.05839416
Other,1994,F,מיכל,7,0.05109489
Other,1994,F,מריה,7,0.05109489
Other,1994,F,ענת,7,0.05109489
Other,1994,F,דניאל,6,0.04379562
Other,1994,F,ויקטוריה,6,0.04379562
Other,1994,F,יאנה,6,0.04379562
Other,1994,F,איריס,5,0.03649635
Other,1994,F,אליזבט,5,0.03649635
Other,1994,F,אליסה,5,0.03649635
Other,1994,F,לאה,5,0.03649635
Other,1994,M,דניאל,89,0.28802589
Other,1994,M,דוד,31,0.10032362
Other,1994,M,מיכאל,20,0.06472492
Other,1994,M,יונתן,18,0.05825243
Other,1994,M,מקסים,11,0.03559871
Other,1994,M,אילן,9,0.02912621
Other,1994,M,אלון,9,0.02912621
Other,1994,M,יעקב,9,0.02912621
Other,1994,M,אלי,8,0.025889970000000002
Other,1994,M,אריאל,8,0.025889970000000002
Other,1994,M,דני,8,0.025889970000000002
Other,1994,M,רונן,8,0.025889970000000002
Other,1994,M,דן,7,0.02265372
Other,1994,M,פיליפ,7,0.02265372
Other,1994,M,תום,7,0.02265372
Other,1994,M,דניס,6,0.01941748
Other,1994,M,טל,6,0.01941748
Other,1994,M,ליאור,6,0.01941748
Other,1994,M,מרק,6,0.01941748
Other,1994,M,רון,6,0.01941748
Other,1994,M,אדם,5,0.01618123
Other,1994,M,איליה,5,0.01618123
Other,1994,M,אלכס,5,0.01618123
Other,1994,M,בנימין,5,0.01618123
Other,1994,M,רוני,5,0.01618123
Other,1994,M,שרון,5,0.01618123
Other,1995,F,אילנה,12,0.075
Other,1995,F,ניקול,11,0.06875
Other,1995,F,דיאנה,9,0.05625
Other,1995,F,אנה,8,0.05
Other,1995,F,דניאלה,8,0.05
Other,1995,F,מאיה,8,0.05
Other,1995,F,מריה,8,0.05
Other,1995,F,נטלי,8,0.05
Other,1995,F,אביטל,7,0.04375
Other,1995,F,אלונה,7,0.04375
Other,1995,F,אליסה,7,0.04375
Other,1995,F,יאנה,7,0.04375
Other,1995,F,מיכל,7,0.04375
Other,1995,F,דנה,6,0.0375
Other,1995,F,דניאל,6,0.0375
Other,1995,F,ויקטוריה,6,0.0375
Other,1995,F,אניטה,5,0.03125
Other,1995,F,דליה,5,0.03125
Other,1995,F,חנה,5,0.03125
Other,1995,F,מיכאלה,5,0.03125
Other,1995,F,ניקה,5,0.03125
Other,1995,F,סופיה,5,0.03125
Other,1995,F,קרינה,5,0.03125
Other,1995,M,דניאל,113,0.27696078
Other,1995,M,דוד,27,0.06617647
Other,1995,M,מיכאל,25,0.06127451
Other,1995,M,יונתן,19,0.04656863
Other,1995,M,אלכסנדר,14,0.03431373
Other,1995,M,מקסים,14,0.03431373
Other,1995,M,מרק,12,0.02941176
Other,1995,M,אלכס,11,0.02696078
Other,1995,M,אלון,10,0.0245098
Other,1995,M,אילן,9,0.02205882
Other,1995,M,דן,9,0.02205882
Other,1995,M,יעקב,9,0.02205882
Other,1995,M,דניס,8,0.01960784
Other,1995,M,יאן,8,0.01960784
Other,1995,M,רונן,8,0.01960784
Other,1995,M,תום,8,0.01960784
Other,1995,M,תומר,8,0.01960784
