sector,sex,name,total
Druze,F,סועאד,168
Jewish,F,תמימה,177
Jewish,F,ירדן,7473
Jewish,F,צפנת,219
Jewish,M,פטריק,123
Jewish,F,אביבית,1979
Muslim,M,תאיר,685
Christian,F,היבא,273
Jewish,F,דר,572
Muslim,F,תוקא,206
Other,M,נועם,402
Jewish,F,דיאנה,1112
Muslim,M,נוראלדין,212
Muslim,M,נואף,384
Jewish,F,שחר,10569
Jewish,F,חיה,24687
Muslim,F,סאלי,1185
Christian,M,ראני,246
Jewish,F,ענוה,177
Jewish,F,הראל,409
Muslim,F,מג'ד,333
Jewish,F,מרגלית,3858
Christian,F,מריה,1048
Other,M,אור,144
Muslim,F,ג'ומאנה,463
Druze,F,איילה,111
Jewish,M,שי-לי,124
Muslim,M,איהאם,2503
Jewish,F,מלי,2394
Jewish,F,גיטה,562
Muslim,F,מייסון,1274
Jewish,M,אליאב,4121
Jewish,F,איטא,214
Jewish,M,ברק,5824
Jewish,M,שר,174
Druze,M,חאתם,134
Jewish,M,גדליהו,402
Jewish,M,כתריאל,145
Jewish,M,קים,151
Christian,M,תאמר,256
Jewish,F,אריאלה,3378
Jewish,F,אראלה,512
Muslim,F,וסאם,190
Druze,F,ענבל,104
Druze,F,גדיר,106
Muslim,F,סורייה,133
Muslim,F,רפיקה,122
Muslim,F,נהאיה,477
Jewish,F,לונה,410
Muslim,M,ראוי,108
Other,M,דין,125
Muslim,F,גינאן,162
Druze,M,כרם,148
Muslim,F,חמאדה,997
Jewish,M,אפרים,7276
Muslim,F,סביל,160
Muslim,M,עזאת,265
Muslim,F,סוואר,196
Jewish,F,נוי,7163
Other,M,רוברט,142
Druze,M,כמיל,110
Muslim,F,רואיה,900
Muslim,F,דיאא,153
Jewish,F,חלי,1163
Muslim,F,ניסאן,234
Christian,M,טארק,198
Muslim,F,שירין,2964
Muslim,M,סאם,211
Jewish,F,יהל,2377
Jewish,F,ורה,122
Jewish,M,יתיר,110
Christian,F,אחלאם,131
Jewish,M,נתי,248
Jewish,F,ערבה,396
Muslim,F,סוג'וד,1195
Jewish,M,אידן,115
Jewish,M,שרגא,970
Druze,M,ראם,192
Muslim,F,סמירה,3247
Jewish,F,אנט,295
Jewish,F,ירין,2362
Jewish,M,אביה,711
Muslim,F,ליאנה,196
Jewish,F,פיגא,4020
Christian,M,פואד,498
Jewish,F,פריידא,657
Jewish,F,אייר,432
Druze,M,סנד,229
Muslim,F,נבאל,264
Jewish,F,נופר,7451
Jewish,M,גיא,26965
Muslim,M,ופיק,186
Jewish,F,רון,1954
Jewish,F,דרור,618
Muslim,F,ח'ולוד,442
Christian,M,ראוי,121
Druze,F,נאי,175
Jewish,F,ויויאן,205
Jewish,F,אמילי,5254
Muslim,F,מירוות,132
Muslim,F,סיבא,608
Muslim,M,נג'ואן,332
Other,F,ליאל,580
Jewish,F,אליזה,134
Jewish,F,אדוה,4207
Jewish,F,אגם,10829
