sector,sex,name,total
Jewish,F,נועה,47398
Jewish,F,רחל,46301
Jewish,F,יעל,45329
Jewish,F,שרה,45059
Jewish,F,מיכל,44945
Jewish,F,אסתר,44657
Jewish,F,תמר,39930
Jewish,F,שירה,36454
Jewish,F,חנה,35905
Jewish,F,מרים,34343
Jewish,F,מאיה,34213
Jewish,F,רבקה,33168
Jewish,F,עדי,30220
Jewish,F,חיה,24687
Jewish,F,הילה,24653
Jewish,F,רות,23764
Jewish,F,טליה,22622
Jewish,F,איילה,21579
Jewish,F,אפרת,20699
Jewish,F,רוני,20689
Jewish,F,לאה,20404
Jewish,F,אביגיל,19873
Jewish,F,מעיין,19633
Jewish,F,הודיה,18892
Jewish,F,שני,18267
Jewish,F,יהודית,17028
Jewish,F,טל,16547
Jewish,F,יובל,16090
Jewish,F,שושנה,16034
Jewish,F,עדן,15931
Jewish,F,מלכה,15874
Jewish,F,ענת,15629
Jewish,F,שיר,15577
Jewish,F,הדר,15429
Jewish,F,נעמי,15206
Jewish,F,קרן,15130
Jewish,F,אלה,14707
Jewish,F,תהילה,14123
Jewish,F,נעמה,14118
Jewish,F,הדס,13838
Jewish,F,דנה,13642
Jewish,F,נויה,13094
Jewish,F,חן,12920
Jewish,F,אורית,12906
Jewish,F,מירב,12593
Jewish,F,נטע,12561
Jewish,F,אדל,12393
Jewish,F,דבורה,12357
Jewish,F,צפורה,12338
Jewish,F,רותם,12181
Jewish,F,ליאת,12133
Jewish,F,ליה,12044
Jewish,F,עמית,11936
Jewish,F,אורלי,11897
Jewish,F,נגה,11846
Jewish,F,נועם,11832
Jewish,F,רונית,11729
Jewish,F,דניאל,11144
Jewish,F,רומי,11089
Jewish,F,אילנה,11054
Jewish,F,אגם,10829
Jewish,F,שרון,10782
Jewish,F,מיטל,10775
Jewish,F,אור,10587
Jewish,F,שחר,10569
Jewish,F,מוריה,10451
Jewish,F,מורן,10310
Jewish,F,ליאור,10255
Jewish,F,ספיר,10243
Jewish,F,הדסה,10151
Jewish,F,רעות,10088
Jewish,F,נחמה,10031
Jewish,F,סיון,9736
Jewish,F,גלית,9692
Jewish,F,ברכה,9645
Jewish,F,שקד,9637
Jewish,F,לימור,9617
Jewish,F,איריס,9518
Jewish,F,ליאן,9370
Jewish,F,שולמית,9185
Jewish,F,יפה,9056
Jewish,F,אביטל,9031
Jewish,F,מור,9022
Jewish,F,מאי,9001
Jewish,F,ענבל,8868
Jewish,F,חגית,8813
Jewish,F,ליאל,8810
Jewish,F,מזל,8801
Jewish,F,שרית,8757
Jewish,F,גל,8743
Jewish,F,תהל,8720
Jewish,F,אריאל,8705
Jewish,F,דליה,8698
Jewish,F,נטלי,8473
Jewish,F,שירן,8436
Jewish,F,עלמה,8270
Jewish,F,אוריה,8253
Jewish,F,פנינה,8186
Jewish,F,לירון,8161
Jewish,F,אורטל,8156
Jewish,F,חוה,8151
Jewish,F,ורד,8116
Jewish,F,טלי,7838
Jewish,F,בר,7807
Jewish,F,מיקה,7771
Jewish,F,לינוי,7710
Jewish,F,אלישבע,7697
Jewish,F,גאיה,7670
Jewish,F,רויטל,7660
Jewish,F,בתיה,7638
Jewish,F,נורית,7617
Jewish,F,ירדן,7473
Jewish,F,נופר,7451
Jewish,F,ענבר,7392
Jewish,F,הלל,7368
Jewish,F,נוי,7163
Jewish,F,שלי,7162
Jewish,F,אופיר,7156
Jewish,F,שי,7072
Jewish,F,יהלי,7016
Jewish,F,זוהר,6927
Jewish,F,איילת,6825
Jewish,F,עליזה,6806
Jewish,F,עופרי,6784
Jewish,F,זהבה,6749
Jewish,F,אבישג,6723
Jewish,F,ליטל,6716
Jewish,F,בת שבע,6696
Jewish,F,טובה,6694
Jewish,F,אמה,6612
Jewish,F,אורי,6580
Jewish,F,דניאלה,6512
Jewish,F,ליבי,6501
Jewish,F,אביה,6497
Jewish,F,דורית,6485
Jewish,F,דפנה,6441
Jewish,F,לילך,6437
Jewish,F,דינה,6424
Jewish,F,טוהר,6410
Jewish,F,יפעת,6089
Jewish,F,גילה,5921
Jewish,F,אליה,5882
Jewish,F,עינת,5840
Jewish,F,אורנה,5815
Jewish,F,שיראל,5805
Jewish,F,גילי,5760
Jewish,F,עומר,5596
Jewish,F,סיגל,5567
Jewish,F,שלומית,5505
Jewish,F,אביבה,5401
Jewish,F,גלי,5345
Jewish,F,בת אל,5296
Jewish,F,שמחה,5259
Jewish,F,אמילי,5254
Jewish,F,סמדר,5221
Jewish,F,רינה,5189
Jewish,F,שירי,5164
Jewish,F,ניצן,5155
Jewish,F,רינת,5106
Jewish,F,ליהי,5083
Jewish,F,נאוה,4989
Jewish,F,שירלי,4965
Jewish,F,יוכבד,4877
Jewish,F,שילת,4869
Jewish,F,אורה,4751
Jewish,F,שי-לי,4749
Jewish,F,סימה,4725
Jewish,F,גפן,4722
Jewish,F,אילנית,4710
Jewish,F,סתיו,4660
Jewish,F,אסנת,4641
Jewish,F,אתי,4640
Jewish,F,יערה,4632
Jewish,F,עינב,4566
Jewish,F,אירית,4535
Jewish,F,אלינור,4513
Jewish,F,סיגלית,4431
Jewish,F,אביב,4421
Jewish,F,יפית,4387
Jewish,F,יסמין,4326
Jewish,F,ליאורה,4313
Jewish,F,אהובה,4216
Jewish,F,אדוה,4207
Jewish,F,צביה,4176
Jewish,F,אורין,4138
Jewish,F,אילת,4103
Jewish,F,אודליה,4096
Jewish,F,עדנה,4044
Jewish,F,פיגא,4020
Jewish,F,לי,4012
Jewish,F,לירז,3882
